figure_neuronIdx,figure_epoch,figure_layer,figure_latency
1,1_Onset,l2,94
2,1_Onset,l2,140
3,1_Onset,l2,101
4,1_Onset,l2,84
5,1_Onset,l2,52
24,1_Onset,l2,130
25,1_Onset,l2,128
36,1_Onset,l2,113
37,1_Onset,l2,92
45,1_Onset,l2,59
54,1_Onset,l2,141
55,1_Onset,l2,127
68,1_Onset,l2,130
69,1_Onset,l2,130
70,1_Onset,l2,94
80,1_Onset,l2,109
81,1_Onset,l2,136
88,1_Onset,l2,82
1,2_Offset,l2,164
2,2_Offset,l2,276
3,2_Offset,l2,237
4,2_Offset,l2,355
5,2_Offset,l2,328
24,2_Offset,l2,90
25,2_Offset,l2,351
36,2_Offset,l2,115
37,2_Offset,l2,163
45,2_Offset,l2,299
54,2_Offset,l2,266
55,2_Offset,l2,196
68,2_Offset,l2,97
69,2_Offset,l2,264
70,2_Offset,l2,213
80,2_Offset,l2,236
81,2_Offset,l2,53
88,2_Offset,l2,332
6,1_Onset,l3,76
7,1_Onset,l3,95
8,1_Onset,l3,114
9,1_Onset,l3,98
10,1_Onset,l3,112
11,1_Onset,l3,93
12,1_Onset,l3,84
13,1_Onset,l3,89
26,1_Onset,l3,139
27,1_Onset,l3,68
28,1_Onset,l3,79
29,1_Onset,l3,144
38,1_Onset,l3,73
39,1_Onset,l3,65
40,1_Onset,l3,86
41,1_Onset,l3,80
46,1_Onset,l3,65
47,1_Onset,l3,114
48,1_Onset,l3,117
49,1_Onset,l3,90
50,1_Onset,l3,97
56,1_Onset,l3,80
57,1_Onset,l3,70
58,1_Onset,l3,88
59,1_Onset,l3,85
60,1_Onset,l3,107
61,1_Onset,l3,91
62,1_Onset,l3,128
71,1_Onset,l3,48
72,1_Onset,l3,88
73,1_Onset,l3,73
74,1_Onset,l3,98
75,1_Onset,l3,87
82,1_Onset,l3,76
83,1_Onset,l3,95
84,1_Onset,l3,138
85,1_Onset,l3,103
89,1_Onset,l3,84
90,1_Onset,l3,79
91,1_Onset,l3,93
92,1_Onset,l3,82
93,1_Onset,l3,74
96,1_Onset,l3,84
97,1_Onset,l3,89
98,1_Onset,l3,98
99,1_Onset,l3,98
100,1_Onset,l3,64
102,1_Onset,l3,83
103,1_Onset,l3,82
104,1_Onset,l3,106
105,1_Onset,l3,82
106,1_Onset,l3,63
107,1_Onset,l3,106
110,1_Onset,l3,81
111,1_Onset,l3,106
6,2_Offset,l3,613
7,2_Offset,l3,334
8,2_Offset,l3,534
9,2_Offset,l3,418
10,2_Offset,l3,1502
11,2_Offset,l3,342
12,2_Offset,l3,351
13,2_Offset,l3,415
26,2_Offset,l3,117
27,2_Offset,l3,78
28,2_Offset,l3,554
29,2_Offset,l3,276
38,2_Offset,l3,-56
39,2_Offset,l3,365
40,2_Offset,l3,357
41,2_Offset,l3,269
46,2_Offset,l3,266
47,2_Offset,l3,330
48,2_Offset,l3,325
49,2_Offset,l3,1502
50,2_Offset,l3,366
56,2_Offset,l3,NaN
57,2_Offset,l3,239
58,2_Offset,l3,298
59,2_Offset,l3,299
60,2_Offset,l3,323
61,2_Offset,l3,343
62,2_Offset,l3,NaN
71,2_Offset,l3,260
72,2_Offset,l3,427
73,2_Offset,l3,368
74,2_Offset,l3,322
75,2_Offset,l3,267
82,2_Offset,l3,-31
83,2_Offset,l3,198
84,2_Offset,l3,178
85,2_Offset,l3,326
89,2_Offset,l3,357
90,2_Offset,l3,22
91,2_Offset,l3,187
92,2_Offset,l3,213
93,2_Offset,l3,117
96,2_Offset,l3,37
97,2_Offset,l3,378
98,2_Offset,l3,780
99,2_Offset,l3,319
100,2_Offset,l3,896
102,2_Offset,l3,115
103,2_Offset,l3,372
104,2_Offset,l3,88
105,2_Offset,l3,665
106,2_Offset,l3,729
107,2_Offset,l3,172
110,2_Offset,l3,135
111,2_Offset,l3,111
14,1_Onset,l5,92
15,1_Onset,l5,92
16,1_Onset,l5,107
17,1_Onset,l5,62
18,1_Onset,l5,99
19,1_Onset,l5,55
20,1_Onset,l5,142
30,1_Onset,l5,92
31,1_Onset,l5,94
32,1_Onset,l5,78
33,1_Onset,l5,90
34,1_Onset,l5,90
42,1_Onset,l5,98
43,1_Onset,l5,104
44,1_Onset,l5,56
51,1_Onset,l5,96
52,1_Onset,l5,97
53,1_Onset,l5,98
63,1_Onset,l5,89
64,1_Onset,l5,97
65,1_Onset,l5,97
66,1_Onset,l5,93
67,1_Onset,l5,129
76,1_Onset,l5,85
77,1_Onset,l5,74
78,1_Onset,l5,83
79,1_Onset,l5,127
86,1_Onset,l5,92
87,1_Onset,l5,137
108,1_Onset,l5,93
109,1_Onset,l5,121
112,1_Onset,l5,138
113,1_Onset,l5,136
115,1_Onset,l5,71
116,1_Onset,l5,139
117,1_Onset,l5,107
119,1_Onset,l5,149
14,2_Offset,l5,1502
15,2_Offset,l5,361
16,2_Offset,l5,398
17,2_Offset,l5,462
18,2_Offset,l5,526
19,2_Offset,l5,576
20,2_Offset,l5,407
30,2_Offset,l5,414
31,2_Offset,l5,1502
32,2_Offset,l5,-2
33,2_Offset,l5,1
34,2_Offset,l5,322
42,2_Offset,l5,302
43,2_Offset,l5,305
44,2_Offset,l5,299
51,2_Offset,l5,1502
52,2_Offset,l5,418
53,2_Offset,l5,1502
63,2_Offset,l5,383
64,2_Offset,l5,373
65,2_Offset,l5,418
66,2_Offset,l5,-18
67,2_Offset,l5,204
76,2_Offset,l5,313
77,2_Offset,l5,331
78,2_Offset,l5,226
79,2_Offset,l5,232
86,2_Offset,l5,1498
87,2_Offset,l5,664
108,2_Offset,l5,71
109,2_Offset,l5,NaN
112,2_Offset,l5,190
113,2_Offset,l5,89
115,2_Offset,l5,168
116,2_Offset,l5,257
117,2_Offset,l5,47
119,2_Offset,l5,148
21,1_Onset,l6,147
22,1_Onset,l6,54
23,1_Onset,l6,142
35,1_Onset,l6,140
94,1_Onset,l6,118
95,1_Onset,l6,133
101,1_Onset,l6,137
114,1_Onset,l6,139
118,1_Onset,l6,112
21,2_Offset,l6,681
22,2_Offset,l6,-17
23,2_Offset,l6,520
35,2_Offset,l6,304
94,2_Offset,l6,1008
95,2_Offset,l6,241
101,2_Offset,l6,377
114,2_Offset,l6,106
118,2_Offset,l6,97
